id,predicted_percentage
sample1957.npy,[18.120783]
sample1369.npy,[33.66891]
sample782.npy,[52.946194]
sample2255.npy,[46.73569]
sample2160.npy,[80.19895]
sample2140.npy,[57.430447]
sample134.npy,[43.71614]
sample1835.npy,[49.94701]
sample2681.npy,[87.8333]
sample777.npy,[49.44967]
sample1636.npy,[36.925903]
sample2060.npy,[34.50762]
sample2509.npy,[67.55015]
sample2534.npy,[56.82367]
sample56.npy,[49.94701]
sample1924.npy,[23.504797]
sample712.npy,[77.0438]
sample763.npy,[55.46222]
sample1159.npy,[21.07029]
sample2403.npy,[45.603256]
sample1774.npy,[25.1533]
sample364.npy,[70.337616]
sample2015.npy,[73.664215]
sample155.npy,[81.94017]
sample1856.npy,[28.93638]
sample1764.npy,[56.58809]
sample1543.npy,[70.2542]
sample132.npy,[19.71997]
sample1941.npy,[49.94701]
sample196.npy,[33.11485]
sample2448.npy,[63.4232]
sample1067.npy,[42.237003]
sample331.npy,[49.94701]
sample2462.npy,[24.542871]
sample195.npy,[26.775232]
sample1128.npy,[41.342735]
sample497.npy,[67.62793]
sample209.npy,[96.91713]
sample820.npy,[51.87143]
sample1371.npy,[24.252417]
sample1932.npy,[44.440857]
sample1737.npy,[53.71797]
sample525.npy,[45.817585]
sample2343.npy,[49.94701]
sample1191.npy,[45.351906]
sample2044.npy,[72.887566]
sample596.npy,[69.279015]
sample279.npy,[29.287247]
sample1851.npy,[39.444744]
sample432.npy,[46.914547]
sample2199.npy,[9.674754]
sample2612.npy,[64.02919]
sample1073.npy,[49.94701]
sample1995.npy,[37.189304]
sample1178.npy,[51.44679]
sample2156.npy,[46.563282]
sample2300.npy,[25.568256]
sample2701.npy,[3.0711615]
sample1586.npy,[53.23657]
sample55.npy,[49.94701]
sample1255.npy,[10.299097]
sample918.npy,[59.239483]
sample2398.npy,[40.45149]
sample57.npy,[49.94701]
sample1692.npy,[28.000906]
sample758.npy,[39.94486]
sample1570.npy,[68.08411]
sample2342.npy,[58.74706]
sample79.npy,[50.07644]
sample352.npy,[30.933046]
sample1161.npy,[15.169475]
sample348.npy,[78.44651]
sample1480.npy,[80.81355]
sample2346.npy,[49.94701]
sample2032.npy,[38.287155]
sample2456.npy,[88.319885]
sample213.npy,[57.645775]
sample2615.npy,[44.498783]
sample2221.npy,[27.299782]
sample741.npy,[49.94701]
sample1557.npy,[52.106197]
sample1425.npy,[81.15354]
sample2595.npy,[59.35882]
sample9.npy,[49.94701]
sample2554.npy,[55.137825]
sample1911.npy,[65.94167]
sample28.npy,[49.94701]
sample553.npy,[14.744224]
sample857.npy,[67.13999]
sample1685.npy,[44.444225]
sample102.npy,[0.39402288]
sample1821.npy,[56.357693]
sample1244.npy,[53.848953]
sample1982.npy,[54.015507]
sample2222.npy,[38.567703]
sample551.npy,[49.94701]
sample91.npy,[13.790994]
sample1883.npy,[55.202126]
sample1431.npy,[54.96561]
sample1845.npy,[34.13016]
sample2194.npy,[90.7564]
sample1085.npy,[41.458572]
sample1722.npy,[55.131714]
sample1040.npy,[72.0869]
sample762.npy,[24.016895]
sample1587.npy,[20.442217]
sample882.npy,[32.986046]
sample1922.npy,[54.733414]
sample1476.npy,[34.799416]
sample779.npy,[55.228447]
sample2290.npy,[53.129864]
sample2520.npy,[49.94701]
sample2606.npy,[92.82917]
sample1627.npy,[69.59338]
sample2435.npy,[44.12148]
sample2164.npy,[70.344284]
sample989.npy,[50.337143]
sample1418.npy,[23.658733]
sample1412.npy,[16.041517]
sample865.npy,[55.80156]
sample2006.npy,[36.06493]
sample826.npy,[24.359245]
sample93.npy,[63.81873]
sample2607.npy,[62.24024]
sample493.npy,[47.180122]
sample2676.npy,[35.59637]
sample1739.npy,[54.264343]
sample881.npy,[50.889145]
sample2085.npy,[47.793945]
sample2240.npy,[78.63724]
sample1803.npy,[70.5568]
sample1406.npy,[49.94701]
sample2359.npy,[94.777054]
sample227.npy,[55.221313]
sample1801.npy,[38.03442]
sample1064.npy,[38.106735]
sample362.npy,[66.49814]
sample2135.npy,[51.1636]
sample1625.npy,[72.08688]
sample1051.npy,[33.825825]
sample2321.npy,[57.619564]
sample89.npy,[55.995567]
sample1439.npy,[27.199692]
sample2286.npy,[26.805973]
sample687.npy,[45.185627]
sample1848.npy,[58.716957]
sample2458.npy,[49.94701]
sample1447.npy,[99.368675]
sample1818.npy,[70.80935]
sample1112.npy,[6.191318]
sample90.npy,[15.252207]
sample2374.npy,[82.06429]
sample1874.npy,[49.94701]
sample1917.npy,[61.266117]
sample544.npy,[59.644]
sample513.npy,[48.74147]
sample274.npy,[33.78049]
sample1394.npy,[49.589012]
sample647.npy,[53.94789]
sample2663.npy,[13.620545]
sample912.npy,[30.551592]
sample2204.npy,[42.877605]
sample2206.npy,[43.398586]
sample1880.npy,[49.94701]
sample814.npy,[56.394535]
sample860.npy,[13.087842]
sample2161.npy,[79.33782]
sample2700.npy,[86.20164]
sample870.npy,[49.94701]
sample915.npy,[56.596153]
sample1490.npy,[67.31432]
sample360.npy,[75.28489]
sample1477.npy,[14.242411]
sample713.npy,[54.577553]
sample2367.npy,[83.55455]
sample1216.npy,[19.997019]
sample2434.npy,[38.735874]
sample2271.npy,[63.178825]
